"id"	"Reflexive_pronoun"	"De_complement"	"Year"	"Verb"
587	"yes"	"no"	1620	"burlar"
588	"yes"	"no"	1622	"burlar"
589	"yes"	"yes"	1622	"burlar"
590	"yes"	"no"	1621	"burlar"
591	"yes"	"yes"	1621	"burlar"
592	"yes"	"yes"	1626	"burlar"
593	"yes"	"no"	1622	"burlar"
594	"yes"	"no"	1622	"burlar"
595	"yes"	"yes"	1622	"burlar"
596	"yes"	"yes"	1624	"burlar"
597	"yes"	"yes"	1624	"burlar"
598	"yes"	"yes"	1624	"burlar"
599	"yes"	"no"	1624	"burlar"
600	"yes"	"yes"	1624	"burlar"
601	"yes"	"yes"	1624	"burlar"
602	"no"	"yes"	1624	"burlar"
603	"no"	"yes"	1624	"burlar"
604	"yes"	"no"	1624	"burlar"
605	"yes"	"yes"	1625	"burlar"
606	"yes"	"no"	1626	"burlar"
607	"yes"	"no"	1626	"burlar"
608	"yes"	"no"	1626	"burlar"
609	"no"	"no"	1626	"burlar"
610	"yes"	"yes"	1626	"burlar"
611	"yes"	"no"	1626	"burlar"
612	"yes"	"no"	1626	"burlar"
613	"no"	"yes"	1626	"burlar"
614	"yes"	"no"	1626	"burlar"
615	"yes"	"no"	1626	"burlar"
616	"yes"	"no"	1626	"burlar"
617	"no"	"yes"	1626	"burlar"
618	"yes"	"yes"	1626	"burlar"
619	"no"	"no"	1626	"burlar"
620	"yes"	"yes"	1626	"burlar"
621	"no"	"yes"	1626	"burlar"
622	"yes"	"yes"	1626	"burlar"
623	"no"	"yes"	1626	"burlar"
624	"yes"	"yes"	1626	"burlar"
625	"yes"	"yes"	1626	"burlar"
626	"yes"	"no"	1626	"burlar"
627	"no"	"yes"	1630	"burlar"
628	"yes"	"yes"	1630	"burlar"
629	"yes"	"no"	1632	"burlar"
630	"yes"	"no"	1632	"burlar"
631	"no"	"no"	1632	"burlar"
632	"yes"	"yes"	1632	"burlar"
633	"yes"	"no"	1632	"burlar"
634	"yes"	"yes"	1632	"burlar"
635	"yes"	"no"	1632	"burlar"
636	"yes"	"no"	1632	"burlar"
637	"yes"	"yes"	1632	"burlar"
638	"yes"	"yes"	1634	"burlar"
639	"yes"	"no"	1634	"burlar"
640	"yes"	"yes"	1634	"burlar"
641	"no"	"no"	1634	"burlar"
642	"yes"	"yes"	1634	"burlar"
643	"yes"	"yes"	1634	"burlar"
644	"yes"	"no"	1634	"burlar"
645	"no"	"yes"	1634	"burlar"
646	"no"	"yes"	1643	"burlar"
647	"no"	"no"	1635	"burlar"
648	"no"	"no"	1635	"burlar"
649	"no"	"no"	1635	"burlar"
650	"yes"	"no"	1643	"burlar"
651	"yes"	"yes"	1640	"burlar"
652	"yes"	"no"	1636	"burlar"
653	"yes"	"yes"	1637	"burlar"
654	"yes"	"yes"	1639	"burlar"
655	"yes"	"yes"	1641	"burlar"
656	"yes"	"yes"	1641	"burlar"
657	"yes"	"yes"	1641	"burlar"
658	"yes"	"yes"	1641	"burlar"
659	"yes"	"yes"	1641	"burlar"
660	"yes"	"no"	1644	"burlar"
661	"yes"	"no"	1644	"burlar"
662	"yes"	"yes"	1644	"burlar"
663	"yes"	"yes"	1644	"burlar"
664	"yes"	"yes"	1645	"burlar"
665	"yes"	"yes"	1645	"burlar"
666	"yes"	"yes"	1645	"burlar"
667	"yes"	"yes"	1645	"burlar"
668	"yes"	"yes"	1645	"burlar"
669	"yes"	"no"	1646	"burlar"
670	"yes"	"yes"	1646	"burlar"
671	"yes"	"no"	1651	"burlar"
672	"yes"	"yes"	1651	"burlar"
673	"no"	"yes"	1651	"burlar"
674	"yes"	"yes"	1651	"burlar"
675	"yes"	"no"	1651	"burlar"
676	"yes"	"yes"	1651	"burlar"
677	"no"	"yes"	1654	"burlar"
678	"no"	"no"	1654	"burlar"
679	"yes"	"no"	1654	"burlar"
680	"no"	"yes"	1654	"burlar"
681	"yes"	"yes"	1663	"burlar"
682	"yes"	"no"	1663	"burlar"
683	"yes"	"no"	1703	"burlar"
684	"yes"	"yes"	1703	"burlar"
685	"yes"	"yes"	1703	"burlar"
686	"yes"	"yes"	1703	"burlar"
687	"yes"	"yes"	1703	"burlar"
688	"yes"	"yes"	1703	"burlar"
689	"yes"	"yes"	1703	"burlar"
690	"yes"	"yes"	1703	"burlar"
691	"yes"	"yes"	1703	"burlar"
692	"yes"	"yes"	1725	"burlar"
693	"yes"	"yes"	1725	"burlar"
694	"yes"	"yes"	1734	"burlar"
