idplaces	name	country	country_code	longitude	latitude
07d9dfec03886000	Playa Mar Bella	United States	US	2.2124457	41.39862309999999
2a9c627264182a58	Prados de Villahermosa	México	MX	-92.9332029	18.005912
36d7cd1950e862a0	Narvarte	México	MX	-100.2831495	25.6516484
07d9ec4734480001	comite ricky rosselló	United States	US	NA	NA
eec32eee6cf14156	Salvatierra de Esca	España	ES	-1.004179	42.6683868
23b761ca46efe159	Riofrío de Riaza	España	ES	-3.4496768	41.247063
e32584facf3dba8c	Castillejo de Robledo	España	ES	-3.4946603	41.5600899
1082ac8482133af7	Cumbres las Palmas	México	MX	-100.3985731	25.7337398
2e5007725487280e	Barrio Niño Jesús	México	MX	-99.16152910000001	19.2869031
5490d4af5ae7c262	Country	México	MX	-100.3027767	25.6188126
37ecf495d7f1b1c6	San Miguel de Huentitan	México	MX	-103.2937664	20.7122546
0064a2f76b951afd	Salamina	Colombia	CO	-75.486468	5.402354
07d9e00de1880001	Telemundo Puerto Rico	United States	US	-66.06914610000001	18.4221374
07d9e26048483001	Híjole Mexican Rest.	United States	US	-80.2307148	25.7794437
07d9de7305082000	Polideportivo De Arecibo	United States	US	-66.7242103	18.4557373
210fb41b0030ed82	Independencia	México	MX	-106.4133507	23.2209993
694758e6f05d9732	Elduain	España	ES	-2.0010004	43.1397181
49ed6a168995ce3b	Virginia Cordero de Murillo Vidal	México	MX	-96.93097709999999	19.5585148
9f8800392c47a1c4	Fuentes de Jiloca	España	ES	-1.5390218	41.2291844
